"Product,Total Revenue"
"Smooth Sliky Salty,1120201.09"
"50% Dark Bites,1087659.35"
"White Choc,1054257.0"
"Peanut Butter Cubes,1036591.09"
"Eclairs,996947.96"
"99% Dark & Pure,960033.45"
"85% Dark Bars,955268.24"
"Organic Choco Syrup,945345.73"
"Spicy Special Slims,938131.6900000001"
"Mint Chip Choco,904989.55"
"Almond Choco,890454.65"
"Manuka Honey Choco,885208.03"
"Milk Bars,866273.62"
"Raspberry Choco,845388.41"
"After Nines,837215.67"
"Fruit & Nut Bars,829278.96"
"Orange Choco,824070.85"
"Drinking Coco,822245.57"
"Baker's Choco Chips,799085.67"
"Choco Coated Almonds,773062.91"
"Caramel Stuffed Bars,742516.15"
"70% Dark Bites,677346.22"
